movie_code,movie_name,screen_national,sales_national,audience_national,production_year,release_date,running_time,age_restriction,rate_cgv,comment_cgv,rate_naver,comment_naver,synopsis
1000014,부산행,1788,93175877048,11565078,2016,20160720,118,15세관람가,92.0,163751,8.6,31270,"전대미문의 재난이 대한민국을 덮친다!  정체불명의 바이러스가 전국으로 확산되고 대한민국 긴급재난경보령이 선포된 가운데, KTX에 몸을 실은 사람들은 단 하나의 안전한 도시 부산까지 살아가기 위한 치열한 사투를 벌이게 되는데..  서울에서 부산까지의 거리 442km 지키고 싶은, 지켜야만 하는 사람들의 극한의 사투! 살고 싶다면, 부산행 KTX에 탑승하라!"
1000015,기생충,1948,87459829095,10313086,2019,20190530,132,15세관람가,95.0,130133,9.08,7890,"“같이 잘 살면 안 될까요?”전원백수로 살 길 막막하지만 사이는 좋은 기택(송강호) 가족. 장남 기우(최우식)에게 명문대생 친구가 연결시켜 준 고액 과외 자리는 모처럼 싹튼 고정수입의 희망이다. 온 가족의 도움과 기대 속에 박사장(이선균) 집으로 향하는 기우. 글로벌 IT기업 CEO인 박사장의 저택에 도착하자 젊고 아름다운 사모님 연교(조여정)가 기우를 맞이한다.   그러나 이렇게 시작된 두 가족의 만남 뒤로, 걷잡을 수 없는 사건이 기다리고 있었으니…"
1000016,엑시트,1660,79232212162,9426051,2018,20190731,103,12세관람가,97.0,132654,9.0,4766,"짠내 폭발 청년백수, 전대미문의 진짜 재난을 만나다! 대학교 산악 동아리 에이스 출신이지만 졸업 후 몇 년째 취업 실패로 눈칫밥만 먹는 용남은 온 가족이 참석한 어머니의 칠순 잔치에서 연회장 직원으로 취업한 동아리 후배 의주를 만난다. 어색한 재회도 잠시, 칠순 잔치가 무르익던 중 의문의 연기가 빌딩에서 피어 오르며 피할 새도 없이 순식간에 서울 도심은 유독가스로 뒤덮여 일대혼란에 휩싸이게 된다. 용남과 의주는 산악 동아리 시절 쌓아 뒀던 모든 체력과 스킬을 동원해 탈출을 향한 기지를 발휘하기 시작하는데…"
1000017,검사외전,1812,77252755264,9699092,2015,20160203,126,15세관람가,91.0,126439,8.56,16214,"진실 앞에 무대뽀! 다혈질검사, 살인 누명을 쓰고 감옥에 갇히다!거친 수사 방식으로 유명한 다혈질 검사 ‘변재욱’(황정민). 취조 중이던 피의자가 변사체로 발견 되면서 살인 혐의로 체포된다. 꼼짝없이 살인 누명을 쓰게 된 변재욱은 정당방위에 의한 무죄를 약속하는 차장검사 ‘종길’(이성민)을 믿고 진실 앞에 눈감고 모든 혐의를 인정하지만 그 순간 모든 증거는 사라지고 그는 결국 15년 형을 받고 수감 된다.진실 따위 나 몰라라! 허세남발 꽃미남 사기꾼, 반격 작전에 선수로 기용되다!감옥에서 복수의 칼을 갈던 재욱. 5년 후, 자신이 누명을 쓰게 된 사건에 대해 알고 있는 허세남발 꽃미남 사기꾼 ‘치원’(강동원)을 우연히 만나게 되고, 그 순간 감옥 밖 작전을 대행해 줄 선수임을 직감한다. 검사 노하우를 총 동원, 치원을 무혐의로 내보내고 반격을 준비하는 재욱. 하지만 자유를 얻은 치원은 재욱에게서 벗어날 기회만 호시탐탐 노리는데…감옥에 갇힌 검사와 세상 밖으로 나온 사기꾼!이들의 예측불허, 반격의 한탕은 성공할 수 있을까?"
1000018,한산: 용의 출현,2223,73700628377,7264934,2022,20220727,129,12세관람가,95.0,55557,8.51,4475,"나라의 운명을 바꿀 압도적 승리의 전투가 시작된다!1592년 4월, 조선은 임진왜란 발발 후 단 15일 만에 왜군에 한양을 빼앗기며 절체절명의 위기에 놓인다.조선을 단숨에 점령한 왜군은 명나라로 향하는 야망을 꿈꾸며 대규모 병역을 부산포로 집결시킨다.한편, 이순신 장군은 연이은 전쟁의 패배와 선조마저 의주로 파천하며 수세에 몰린 상황에서도 조선을 구하기 위해 전술을 고민하며 출전을 준비한다.하지만 앞선 전투에서 손상을 입은 거북선의 출정이 어려워지고, 거북선의 도면마저 왜군의 첩보에 의해 도난당하게 되는데… 왜군은 연승에 힘입어 그 우세로 한산도 앞바다로 향하고,이순신 장군은 조선의 운명을 가를 전투를 위해 필사의 전략을 준비한다.1592년 여름, 음력 7월 8일 한산도 앞바다, 압도적인 승리가 필요한 조선의 운명을 건 지상 최고의 해전이 펼쳐진다."
1000019,베테랑2,2691,72474035814,7525339,2024,20240913,118,15세이상관람가,86.0,35250,6.51,2360,"가족들도 못 챙기고 밤낮 없이 범죄들과 싸우는 베테랑 형사 '서도철'(황정민)과 강력범죄수사대 형사들.어느 날, 한 교수의 죽음이 이전에 발생했던 살인 사건들과 연관성이 있는 것으로 밝혀지며 전국은 연쇄살인범으로 인해 떠들썩해진다. 이에 단서를 추적하며 수사를 시작한 형사들. 하지만 이들을 비웃기라도 하듯, 연쇄살인범은 다음 살인 대상을 지목하는 예고편을 인터넷에 공개하며 또 한 번 전 국민을 흔들어 놓는다.강력범죄수사대는 서도철의 눈에 든 정의감 넘치는 막내 형사 '박선우' (정해인)를 투입한다. 그리고 사건은 새로운 방향으로 흐르게 되는데..."
1000020,공조2: 인터내셔날,2389,70884583586,6979319,2022,20220907,129,15세관람가,95.0,45574,7.9,2352,"공조 이즈 백! 이번엔 삼각 공조다!남한으로 숨어든 글로벌 범죄 조직을 잡기 위해 새로운 공조 수사에 투입된 북한 형사 ‘림철령’(현빈).수사 중의 실수로 사이버수사대로 전출됐던 남한 형사 ‘강진태’(유해진)는 광수대 복귀를 위해 모두가 기피하는 ‘철령’의 파트너를 자청한다.이렇게 다시 공조하게 된 ‘철령’과 ‘진태’!‘철령’과 재회한 ‘민영’(임윤아)의 마음도 불타오르는 가운데, ‘철령’과 ‘진태’는 여전히 서로의 속내를 의심하면서도 나름 그럴싸한 공조 수사를 펼친다.드디어 범죄 조직 리더인 ‘장명준’(진선규)의 은신처를 찾아내려는 찰나, 미국에서 날아온 FBI 소속 ‘잭’(다니엘 헤니)이 그들 앞에 나타나는데…!아직도 짠내 나는 남한 형사,여전한 엘리트 북한 형사,그리고 FBI 소속 해외파 형사까지!각자의 목적으로 뭉친 그들의 짜릿한 공조 수사가 시작된다!"
1000021,백두산,1971,69825366300,8252669,2019,20191219,128,12세관람가,89.0,100713,7.47,2785,"대한민국 관측 역사상 최대 규모의 백두산 폭발 발생.갑작스러운 재난에 한반도는 순식간에 아비규환이 되고, 남과 북 모두를 집어삼킬 추가 폭발이 예측된다.사상 초유의 재난을 막기 위해 ‘전유경’(전혜진)은 백두산 폭발을 연구해 온 지질학 교수 ‘강봉래’(마동석)의 이론에 따른 작전을 계획하고, 전역을 앞둔 특전사 EOD 대위 ‘조인창’(하정우)이 남과 북의 운명이 걸린 비밀 작전에 투입된다.작전의 키를 쥔 북한 무력부 소속 일급 자원 ‘리준평’(이병헌)과 접선에 성공한 ‘인창’.하지만 ‘준평’은 속을 알 수 없는 행동으로 ‘인창’을 곤란하게 만든다.한편, ‘인창’이 북한에서 펼쳐지는 작전에 투입된 사실도 모른 채 서울에 홀로 남은 ‘최지영’(배수지)은 재난에 맞서 살아남기 위해 고군분투하고 그 사이, 백두산 마지막 폭발까지의 시간은 점점 가까워 가는데…!"
1000022,해적: 바다로 간 산적,838,66240631706,8646758,2014,20140806,130,12세관람가,87.0,70704,8.51,11520,"전국민을 시원하게 웃겨줄 액션 어드벤처!조선을 뒤흔든 최강도적들의 대격전! 조선의 국새를 고래가 삼켜버렸다?!   전대미문 국새 강탈 사건으로 조정은 혼란에 빠지고, 이를 찾기 위해 조선의 난다긴다 하는 무리들이 바다로 모여든다!   바다를 호령하다 졸지에 국새 도둑으로 몰린 위기의 해적 고래는커녕 바다도 처음이지만 의기양양 고래사냥에 나선 산적 건국을 코앞에 두고 발등에 불이 떨어진 개국세력까지!   국새를 차지하는 자, 천하를 얻을 것이다!"
1000023,공조,976,63781731326,7817446,2016,20170118,125,15세관람가,95.0,124581,8.83,13994,"비밀리에 제작된 위조 지폐 동판을 탈취하려는 내부 조직에 의해 작전 중 아내와 동료들을 잃게 된 특수 정예부대 출신의 북한 형사 ‘림철령’(현빈). 동판을 찾아야만 하는 북한은 남한으로 숨어든 조직의 리더 ‘차기성’(김주혁)을 잡기 위해 역사상 최초의 남북 공조수사를 요청하고, 그 적임자로 철령을 서울에 파견한다.한편, 북한의 속내가 의심스런 남한은 먼저 차기성을 잡기 위한 작전을 계획하고, 정직 처분 중인 생계형 형사 ‘강진태’(유해진)에게 공조수사를 위장한 철령의 밀착 감시를 지시한다.임무를 완수해야 하는 철령과 임무를 막아야만 하는 진태.그들에게 주어진 시간은 단 3일,한 팀이 될 수 없는 남북 형사의 예측 불가 공조수사가 시작된다!"
1000024,수상한 그녀,692,62696639249,8656397,2013,20140122,124,15세관람가,97.0,84448,9.09,5557,"니 눈에도 내가 처녀로 보이냐? 아들 자랑이 유일한 낙인 욕쟁이 칠순 할매 오말순(나문희分)은 어느 날, 가족들이 자신을 요양원으로 독립(?)시키려 한다는 청천벽력 같은 사실을 알게 된다. 뒤숭숭한 마음을 안고 밤길을 방황하던 할매 말순은 오묘한 불빛에 이끌려 '청춘 사진관'으로 들어간다. 난생 처음 곱게 꽃단장을 하고 영정사진을 찍고 나오는 길, 그녀는 버스 차창 밖에 비친 자신의 얼굴을 보고 경악을 금치 못한다. 오드리 헵번처럼 뽀얀 피부, 날렵한 몸매... 주름진 할매에서 탱탱한 꽃처녀의 몸으로 돌아간 것! 아무도 알아보지 못하는 자신의 젊은 모습에 그녀는 스무 살 '오두리'가 되어 빛나는 전성기를 즐겨 보기로 마음 먹는데..."
1000025,밀정,1444,61158644831,7487545,2016,20160907,140,15세관람가,94.0,113919,8.57,14677,"1920년대 일제강점기.조선인 출신 일본경찰 이정출(송강호)은 무장독립운동 단체 의열단의 뒤를 캐라는 특명으로 의열단의 리더 김우진(공유)에게 접근하고, 한 시대의 양 극단에 서 있는 두 사람은 서로의 정체와 의도를 알면서도 속내를 감춘 채 가까워진다. 출처를 알 수 없는 정보가 쌍방간에 새어나가고 누가 밀정인지 알 수 없는 가운데, 의열단은 일제의 주요 시설을 파괴할 폭탄을 경성으로 들여오기 위해, 그리고 일본 경찰은 그들을 쫓아 모두 상해에 모인다.잡아야만 하는 자들과 잡힐 수 없는 자들 사이, 자신의 목표를 위해 서로를 이용하려는 암투와 회유, 교란 작전이 숨가쁘게 펼쳐지는 긴장감 속에서 폭탄을 실은 열차는 국경을 넘어 경성으로 향하는데…"
1000026,히말라야,1009,60173583015,7759473,2015,20151216,124,12세관람가,91.0,88997,8.68,12293,"“기다려... 우리가 꼭 데리러 갈게...”해발 8,750 미터 히말라야 에베레스트 데스존인간의 접근을 허락하지 않은 신의 영역 그곳에 우리 동료가 묻혀있다.산 아래 하나였고, 또 다른 가족이었던 사람들생을 마감한 후배 대원의 시신을 찾기 위해기록도, 명예도, 보상도 없는 가슴 뜨거운 여정을 시작한다. 그 누구도 시도하지 않았던 위대한 도전엄홍길 대장과 휴먼원정대의 감동 실화가 공개된다!"
1000027,1987,1299,58165581145,7231638,2017,20171227,129,15세관람가,99.0,111813,9.32,10088,"“책상을 탁! 치니 억! 하고 죽었습니다”1987년 1월, 경찰 조사를 받던 스물두 살 대학생이 사망한다.증거인멸을 위해 박처장(김윤석)의 주도 하에 경찰은 시신 화장을 요청하지만, 사망 당일 당직이었던 최검사(하정우)는 이를 거부하고 부검을 밀어붙인다.단순 쇼크사인 것처럼 거짓 발표를 이어가는 경찰. 그러나 현장에 남은 흔적들과 부검 소견은 고문에 의한 사망을 가리키고, 사건을 취재하던 윤기자(이희준)는 ‘물고문 도중 질식사’를 보도한다. 이에 박처장은 조반장(박희순)등 형사 둘만 구속시키며 사건을 축소하려 한다.한편, 교도소에 수감된 조반장을 통해 사건의 진상을 알게 된 교도관 한병용(유해진)은 이 사실을 수배 중인 재야인사에게 전달하기 위해 조카인 연희(김태리)에게 위험한 부탁을 하게 되는데…한 사람이 죽고, 모든 것이 변화하기 시작했다.모두가 뜨거웠던 1987년의 이야기."
1000028,마스터,1501,58067927865,7150541,2016,20161221,143,15세관람가,95.0,116805,8.66,13644,"썩은 머리 이번에 싹 다 잘라낸다 화려한 언변, 사람을 현혹하는 재능, 정관계를 넘나드는 인맥으로  수만 명 회원들에게 사기를 치며 승승장구해 온 원네트워크 ‘진회장’(이병헌).  반년간 그를 추적해 온 지능범죄수사팀장 ‘김재명’(강동원)은  진회장의 최측근인 ‘박장군’(김우빈)을 압박한다.  원네트워크 전산실 위치와 진회장의 로비 장부를 넘기라는 것.  뛰어난 프로그래밍 실력과 명석한 두뇌로 원네트워크를 키워 온 브레인 박장군은  계획에 차질이 생긴 것을 감지하자 빠르게 머리를 굴리기 시작한다.    진회장은 물론 그의 뒤에 숨은 권력까지 모조리 잡기 위해 포위망을 좁혀가는 재명,  오히려 이 기회를 틈타 돈도 챙기고 경찰의 압박에서도 벗어날 계획을 세우는 장군.  하지만 진회장은 간부 중에 배신자가 있음을 눈치채고, 새로운 플랜을 가동하는데…    지능범죄수사대, 희대의 사기범, 그리고 브레인  서로 속고 속이는 추격이 시작된다!"
1000029,터널,1105,57510324417,7118592,2016,20160810,127,12세관람가,95.0,112322,7.83,12,"집으로 가는 길, 터널이 무너졌다.자동차 영업대리점의 과장 정수(하정우), 큰 계약 건을 앞두고 들뜬 기분으로 집으로 가던 중 갑자기 무너져 내린 터널 안에 홀로 갇히고 만다. 눈에 보이는 것은 거대한 콘크리트 잔해뿐. 그가 가진 것은 78% 남은 배터리의 휴대폰과 생수 두 병, 그리고 딸의 생일 케이크가 전부다.구조대는 오늘도 터널 안으로 들어오지 못했다. 대형 터널 붕괴 사고 소식에 대한민국이 들썩이고 정부는 긴급하게 사고 대책반을 꾸린다.사고 대책반의 구조대장 대경(오달수)은 꽉 막혀버린 터널에 진입하기 위해 여러 가지 시도를 해보지만 구조는 더디게만 진행된다.한편, 정수의 아내 세현(배두나)은 정수가 유일하게 들을 수 있는 라디오를 통해 남편에게 희망을 전하며 그의 무사생환에 대한 희망을 버리지 않는다. 지지부진한 구조 작업은 결국 인근 제2터널 완공에 큰 차질을 주게 되고, 정수의 생존과 구조를 두고 여론이 분열되기 시작한다."
1000030,내부자들,1075,56596582057,7071763,2015,20151119,130,19세관람가(청소년관람불가),97.0,110978,9.06,11246,"“복수극으로 가자고, 화끈하게”유력한 대통령 후보와 재벌 회장, 그들을 돕는 정치깡패 안상구(이병헌).뒷거래의 판을 짠 이는 대한민국 여론을 움직이는 유명 논설주간 이강희(백윤식)다.더 큰 성공을 원한 안상구는 이들의 비자금 파일로 거래를 준비하다 발각되고,이 일로 폐인이 되어 버려진다. “넌 복수를 원하고, 난 정의를 원한다. 그림 좋잖아?”빽 없고 족보가 없어 늘 승진을 눈 앞에 두고 주저 앉는 검사 우장훈(조승우).마침내 대선을 앞둔 대대적인 비자금 조사의 저격수가 되는 기회를 잡는다.그러나 비자금 파일을 가로챈 안상구 때문에 수사는 종결되고,우장훈은 책임을 떠안고 좌천된다. 자신을 폐인으로 만든 일당에게 복수를 계획하는 정치깡패 안상구비자금 파일과 안상구라는 존재를 이용해 성공하고 싶은 무족보 검사 우장훈그리고 비자금 스캔들을 덮어야 하는 대통령 후보와 재벌, 그들의 설계자 이강희과연 살아남는 자는 누가 될 것인가?"
1000031,럭키,1158,56361435256,6965706,2015,20161013,120,15세관람가,95.0,110889,8.76,12260,"성공률 100% 압도적인 카리스마의 완벽한 킬러!목욕탕 Key 때문에 무명배우로 삶이 뒤바뀌다?!성공률 고객 만족도 100%의 완벽한 킬러 형욱(유해진)사건 처리 후 남겨진 증거를 완벽하게 없애기 위해 들른 목욕탕에서 비누를 밟고 넘어져 기억을 잃게 된다.이를 지켜본 무명배우 재성(이준)이 형욱의 목욕탕 키를 훔치게 되고, 운명이 뒤바뀐 형욱은 자신이 재성이라고 생각한 채, 배우로 성공하기 위해 노력하는데…“잊고 있었던 중요한 무언가 떠오른 것 같습니다”타고난 액션과 눈빛 연기 속에 서서히 깨어나는 킬러 본능!형욱은 자신의 과거를 기억해내고 진짜 삶을 찾을 수 있을까?"
